Plataforma,Fecha_Review,Semana_Review,Año_Review,Rating,Usuario,Puesto,Titulo,Texto,Pros,Contras,Fecha_Scrape,Semana_Scrape
Trustpilot,2026-03-19,12,2026,5.0,Sarrah Ohayon,,Thank you BairesDev!,I was super impressed by the professionalism and care BairesDev brought to our work together. Francesca and her team are a joy to work with and we're looking forward to future projects together!,,,2026-05-05,19
Trustpilot,2026-02-11,7,2026,5.0,Ben Gobbitt,,Great experience with BairesDev!,It was a pleasure bringing our project on with the BairesDev team - special shoutout to both Laura and Felipe who have been great to work with!,,,2026-05-05,19
Trustpilot,2025-12-11,50,2025,5.0,Alyssa Corrado,,Excellent Partner,"Working with Laura and the team at BairesDev has been an absolute pleasure. They’ve been consistently friendly, responsive, and incredibly efficient throughout the entire process. Their professionalism and collaborative approach made partnering with them seamless from start to finish. We truly appreciated their clear communication, attention to detail, and the positive energy they brought to every interaction. Highly recommend partnering with this team, they’ve been wonderful in every way.",,,2026-05-05,19
Trustpilot,2025-12-11,50,2025,1.0,Nikola,,Really good spamming trash,I received an email asking me to log in to their platform and start a career after applying. Kidding? Should I find a job there even though I applied for their job posting? Go away,,,2026-05-05,19
Trustpilot,2025-12-02,49,2025,5.0,Marti Jacobsen,,Laura is a clear communicator.,Hi We are a vendor to Bairesdev and have worked closely with Laura. She has great communication skills and a pleasure to work with.,,,2026-05-05,19
Trustpilot,2025-08-12,33,2025,5.0,Consumer,,Professional and transparent,"We consider BairesDev as one of our top partners, very professional and transparent in all of our touchpoints.",,,2026-05-05,19
Trustpilot,2025-08-07,32,2025,5.0,KJ,,responsive team,all contacts i've been dealing with at bairesdev have been responsive and a pleasure to work with,,,2026-05-05,19
Trustpilot,2025-08-06,32,2025,5.0,Cynthia Chiang,,Highly recommend to work with BairesDev,"I had the pleasure of working with BairesDev as a freelancer and had an exceptional experience. From day one, I was given all the tools I needed to succeed and had the opportunity to work on some truly exciting marketing projects. What stood out the most was the level of trust and freedom I was given to execute, while still knowing that support was always just a message away. The team is reliable, fun, and hardworking, and there's a real spirit of collaboration. They’re open to testing new ideas, iterating quickly, and always looking for ways to improve. It was a great environment to grow and contribute meaningfully. Highly recommend to anyone considering working with them!",,,2026-05-05,19
Trustpilot,2025-08-06,32,2025,4.0,Bill,,The people at BariesDev are great to…,The people at BariesDev are great to work with.,,,2026-05-05,19
Trustpilot,2025-06-18,25,2025,5.0,Connor from roorad,,A great team to work with!,"Working with the BairesDev team has been fantastic. They are very professional, clear communicators, and just overall great people. We’ve had nothing but positive experiences and would absolutely recommend working with them.",,,2026-05-05,19
Trustpilot,2025-05-10,19,2025,1.0,Megan M,,Disgusting Worker!,Disgusting Worker!! AVOID. So unprofessional and a total scam!,,,2026-05-05,19
Trustpilot,2025-04-17,16,2025,5.0,Petros Vartanian,,Reliable resources,They're very responsive and always available to provide reliable experts qualified in their respective fields.,,,2026-05-05,19
Trustpilot,2025-03-31,14,2025,5.0,Ben Ronk,,We’ve been working with BairesDev for…,"We’ve been working with BairesDev for our developer needs, and they’ve consistently exceeded expectations. As we scaled from a large team to a smaller one, their responsiveness and clear communication kept us on track—we always knew where things stood with our projects and developers.",,,2026-05-05,19
Trustpilot,2025-03-26,13,2025,5.0,Andrew Boone,,Working with BairesDev has been a…,"Working with BairesDev has been a fantastic experience! We especially appreciate how quick and responsive their communication is—they're always on top of things and ready to help. Their team is professional, efficient, and truly feels like an extension of our own. It's clear they care about our success, and we’re grateful to have them as a trusted partner. Highly recommend!",,,2026-05-05,19
Trustpilot,2025-02-25,9,2025,5.0,Jean-Sébastien Audy,,Exceptional Talent and Outstanding Partnership with BairesDev,"We have been working with BairesDev for multiple years, and their team has consistently provided top-tier resources that meet and exceed our expectations. Their talent selection process ensures we always have skilled professionals who integrate seamlessly with our projects and deliver outstanding results. Beyond technical expertise, BairesDev stands out for their responsiveness, professionalism, and commitment to excellence. They understand our business needs and continuously adapt to support our goals. Their dedication to quality and innovation makes them a trusted long-term partner. We highly recommend BairesDev to any organization looking for reliable and high-performing technology solutions.",,,2026-05-05,19
Trustpilot,2025-02-25,9,2025,5.0,Ben,,BairesDev always provides high quality…,"BairesDev always provides high quality resources at a competitive price. We have leveraged them to support a number of teams and have always been happy with their work, their responsiveness, and their collaboration. The nearshore model is ideal for supplementing our US-based employees. They will continue to be our go-to nearshore provider!",,,2026-05-05,19
Trustpilot,2025-02-14,7,2025,5.0,Robert,,Great Account team,Our account team of business and technical partners takes time to understand what's unique about our business and our engineering needs so that they can apply the best resources and support them through their work with our teams.,,,2026-05-05,19
Trustpilot,2025-02-12,7,2025,5.0,Will Rigsbee,,BairesDev Makes Team Augmentation a Breeze,"BairesDev has made developer team augmentation a breeze. The support staff, account managers and project managers make BairesDev a special place.",,,2026-05-05,19
Trustpilot,2025-02-12,7,2025,5.0,Louis Robinson,,"BairesDev, a true partnership","We've had a partnership with BairesDev for some years now, and it has been a fruitful one. We are able to source near-shore talent in convenient timezones that have the right level of technical proficiency. The cherry on top is that the BairesDev group understands our culture and is able to place team members that fit in well with our group and share our values.",,,2026-05-05,19
Trustpilot,2025-02-11,7,2025,5.0,Cspradling,,Great Experience with BairesDev,"Everyone I've worked with from BairesDev has been super nice, professional, and friendly! They are hard workers and I never worry about what tasks they are working on.",,,2026-05-05,19
Indeed,,,,2.0,Anónimo,,,,,,2026-05-05,19
Indeed,,,,5.0,Anónimo,,,,,,2026-05-05,19
Indeed,,,,4.0,Anónimo,,,,,,2026-05-05,19
Indeed,,,,1.0,Anónimo,,,,,,2026-05-05,19
Clutch,2024-01-05,1,2024,5.0,Eric Ryan,"Co-Founder & CTO, Freeplay",React Native & Python MVP Development for LLM Company,"An LLM company has hired BairesDev to help them build their MVP using React Native. The team is responsible for front- and backend development, SDK and LLM integration, and end-to-end project management.",,,2026-05-05,19
Clutch,2024-04-22,17,2024,5.0,Anonymous,"Manager, Cornerstone Solutions Group",Web Development for Software Company,"""They are always so responsive with any issues and proactive in making sure our needs are being met.""",,,2026-05-05,19
Clutch,2022-05-12,19,2022,5.0,Alexandria Pegnato,"Executive VP, Pegnato Roof Intelligence Network, LLC",Custom Software Development for Intelligence Platform,"""Anything I request, I know will be done and done quickly.""",,,2026-05-05,19
Clutch,2022-03-25,12,2022,5.0,Russ McClelland,"CTO, Infrastructure Services & Software Provider",Software Dev for Infrastructure Services & Software Provider,"""They work with our ""one band, one sound"" philosophy of having a single, integrated team.""",,,2026-05-05,19
Clutch,2022-02-15,7,2022,5.0,Anonymous,"Director of Software Engineering, Education Nonprofit",Software Dev Staff Augmentation for Education Nonprofit,"""It’s been a lighter screening process and we’ve had a high success rate with them.""",,,2026-05-05,19
Clutch,2021-05-03,18,2021,5.0,Jack Reibling,"VP of Technology, RevUnit",Staff Augmentation for Data Technology Studio,"""Their project management has been responsive and the team has been on top of all the details.""",,,2026-05-05,19
Clutch,2021-04-09,14,2021,5.0,Anonymous,"Director of Engineering, Delivery Platform",Staff Augmentation for Delivery Platform,"""Their dedication and commitment to excellence were impressive.""",,,2026-05-05,19
Clutch,2021-01-05,1,2021,5.0,Lana Shaova,"Sr. Director, Business Technology, Associated Press",Enhancements & Custom CRM Support for News Company,"""They will always go the extra mile to make the customer happy.""",,,2026-05-05,19
Clutch,2020-12-02,49,2020,5.0,Kevin Edwards,"CEO, ProfolioX",AWS & Mobile App Dev for Sports Trading Platform,“I know their team well enough that we know what each other is thinking.”,,,2026-05-05,19
Clutch,2020-11-30,49,2020,5.0,Robin Wilson,"Director of Engineering, VisionWeb",Staff Augmentation for Eye Care Software Company,"""They provide top-quality resources quickly.""",,,2026-05-05,19
